SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
379283|0000000758156401              |20220528|171500|011|676|0|30300037|130010006|130752040|1|20220528|110525|8002312|20220528|173356|8005518|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379285|0000000674747237              |20220528|174611|001|676|0|30300068|130010006|130759025|1|20220528|142013|8002950|20220528|175034|8001096|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379287|0000000918470806              |20220528|174014|001|676|0|30300088|130010002|130752512|1|20220528|152111|8001585|20220528|180834|8002721|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379289|0000000743752281              |20220528|174005|001|676|0|30300090|130010005|130759266|1|20220528|122951|8005990|20220528|181657|8001075|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379291|0000000770744100              |20220528|182202|007|676|0|30300090|130010005|130759223|1|20220528|165448|8005990|20220528|185055|8006006|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379293|0000000906662308              |20220528|102742|003|675|0|30300047|130010001|130759718|1|20220528|094131|8005990|20220528|103545|8002997|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379295|0000000774910513              |20220528|101505|001|676|0|30300051|130010008|130752130|1|20220528|101248|8002950|20220528|102227|8001992|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379297|0000000743745191              |20220528|113016|001|679|0|30300063|130010001|130759403|1|20220528|112119|8002950|20220528|114042|8001876|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379299|0000000741344216              |20220528|113014|001|678|0|30300074|130010014|130753222|1|20220528|112235|8002950|20220528|113910|8002993|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
379301|0000000751209413              |20220528|114520|001|675|0|30300056|130010012|130753322|1|20220528|113319|8005990|20220528|121258|8001646|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377236|0000000464920104              |20220528|170444|028|675|0|30300064|130010015|130759642|1|20220528|063019|8002484|20220528|170853|8002357|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377238|0000000614715800              |20220528|182052|016|675|0|30300045|130010006|130752055|1|20220528|181602|8001491|20220528|182729|8002913|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377240|0000000618006728              |20220528|093837|002|675|0|30300076|130010014|130753235|1|20220528|091913|8002484|20220528|094102|8002357|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377242|0000000903006979              |20220528|094539|003|675|0|30300101|130010002|130752311|1|20220528|090316|8001645|20220528|095527|8001089|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377244|0000000469574509              |20220528|102523|021|675|0|30300101|130010002|130752354|1|20220528|093716|8001645|20220528|103501|8001089|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377246|0000000778380466              |20220528|123330|030|675|0|30300083|130010001|130759478|1|20220528|114258|8001617|20220528|123701|8002823|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
